Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-06-04,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-06-04,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-06-04,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-06-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-06-04,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-06-04,1.0
"Cumulative number of probable Ebola cases",Spain,2015-06-04,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-06-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-06-04,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-06-04,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-06-04,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-06-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-06-04,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-06-04,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-06-04,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-06-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-06-04,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-06-04,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-06-04,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-06-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-06-04,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-06-04,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-06-04,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-06-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-06-04,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-06-04,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-06-04,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-06-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-06-04,1.0
"Cumulative number of confirmed Ebola cases",Italy,2015-06-05,1.0
"Cumulative number of probable Ebola cases",Italy,2015-06-05,0.0
"Cumulative number of suspected Ebola cases",Italy,2015-06-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-06-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-05,3664.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-06-05,3228.0
"Cumulative number of probable Ebola cases",Guinea,2015-06-05,419.0
"Cumulative number of suspected Ebola cases",Guinea,2015-06-05,17.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-06-05,2431.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-06-05,2012.0
"Cumulative number of probable Ebola deaths",Guinea,2015-06-05,419.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-05,10666.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-06-05,3151.0
"Cumulative number of probable Ebola cases",Liberia,2015-06-05,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-06-05,5636.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-06-05,4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-06-05,12859.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-06-05,8624.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-06-05,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-06-05,3948.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-06-05,3912.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-06-05,3546.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-06-05,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-06-05,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-06-05,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-06-05,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-06-05,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-06-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-06-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-06-05,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-06-05,7.0
"Cumulative number of probable Ebola cases",Mali,2015-06-05,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-06-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-06-05,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-06-05,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-06-05,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-06-05,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-06-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-06-05,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-06-05,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-06-05,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-06-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-06-05,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-06-05,1.0
"Cumulative number of probable Ebola cases",Spain,2015-06-05,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-06-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-06-05,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-06-05,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-06-05,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-06-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-06-05,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-06-05,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-06-05,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-06-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-06-05,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-06-05,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-06-05,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-06-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-06-05,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-06-05,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-06-05,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-06-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-06-05,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-06-05,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-06-05,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-06-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-06-05,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-08,3669.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-06-08,3237.0
"Cumulative number of probable Ebola cases",Guinea,2015-06-08,419.0
"Cumulative number of suspected Ebola cases",Guinea,2015-06-08,13.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-06-08,2435.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-06-08,2016.0
"Cumulative number of probable Ebola deaths",Guinea,2015-06-08,419.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-08,10666.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-06-08,3151.0
"Cumulative number of probable Ebola cases",Liberia,2015-06-08,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-06-08,5636.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-06-08,4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-06-08,12884.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-06-08,8630.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-06-08,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-06-08,3967.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-06-08,3913.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-06-08,3547.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-06-08,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-06-08,158.0
"Cumulative number of confirmed Ebola cases",Italy,2015-06-08,1.0
"Cumulative number of probable Ebola cases",Italy,2015-06-08,0.0
"Cumulative number of suspected Ebola cases",Italy,2015-06-08,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-06-08,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-06-08,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-06-08,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-06-08,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-06-08,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-06-08,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-06-08,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-06-08,7.0
"Cumulative number of probable Ebola cases",Mali,2015-06-08,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-06-08,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-06-08,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-06-08,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-06-08,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-06-08,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-06-08,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-06-08,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-06-08,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-06-08,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-06-08,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-06-08,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-06-08,1.0
"Cumulative number of probable Ebola cases",Spain,2015-06-08,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-06-08,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-06-08,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-06-08,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-06-08,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-06-08,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-06-08,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-06-08,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-06-08,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-06-08,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-06-08,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-06-08,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-06-08,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-06-08,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-06-08,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-06-08,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-06-08,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-06-08,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-06-08,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-06-08,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-06-08,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-06-08,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-06-08,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-09,3670.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-06-09,3239.0
"Cumulative number of probable Ebola cases",Guinea,2015-06-09,419.0
"Cumulative number of suspected Ebola cases",Guinea,2015-06-09,12.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-06-09,2437.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-06-09,2018.0
"Cumulative number of probable Ebola deaths",Guinea,2015-06-09,419.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-09,10666.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-06-09,3151.0
"Cumulative number of probable Ebola cases",Liberia,2015-06-09,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-06-09,5636.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-06-09,4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-06-09,12901.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-06-09,8635.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-06-09,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-06-09,3979.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-06-09,3915.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-06-09,3549.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-06-09,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-06-09,158.0
"Cumulative number of confirmed Ebola cases",Italy,2015-06-09,1.0
"Cumulative number of probable Ebola cases",Italy,2015-06-09,0.0
"Cumulative number of suspected Ebola cases",Italy,2015-06-09,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-06-09,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-06-09,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-06-09,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-06-09,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-06-09,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-06-09,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-06-09,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-06-09,7.0
"Cumulative number of probable Ebola cases",Mali,2015-06-09,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-06-09,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-06-09,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-06-09,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-06-09,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-06-09,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-06-09,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-06-09,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-06-09,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-06-09,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-06-09,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-06-09,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-06-09,1.0
"Cumulative number of probable Ebola cases",Spain,2015-06-09,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-06-09,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-06-09,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-06-09,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-06-09,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-06-09,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-06-09,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-06-09,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-06-09,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-06-09,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-06-09,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-06-09,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-06-09,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-06-09,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-06-09,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-06-09,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-06-09,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-06-09,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-06-09,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-06-09,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-06-09,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-06-09,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-06-09,1.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2015-06-10,0.0
"Number of confirmed Ebola cases in the last 21 days","Sierra Leone",2015-06-10,30.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-10,3670.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-06-10,3151.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-06-10,3979.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-06-10,3915.0
"Cumulative number of probable Ebola cases",Guinea,2015-06-10,419.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2015-06-10,38.0
"Cumulative number of suspected Ebola cases",Italy,2015-06-10,0.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-06-10,287.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-06-10,2018.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-06-10,0.0
"Cumulative number of confirmed Ebola cases",Italy,2015-06-10,1.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-06-10,4806.0
"Cumulative number of probable Ebola cases",Italy,2015-06-10,0.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-06-10,8635.0
"Cumulative number of suspected Ebola cases",Guinea,2015-06-10,12.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-06-10,2437.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-06-10,158.0
"Cumulative number of probable Ebola deaths",Guinea,2015-06-10,419.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-06-10,12901.0
"Number of confirmed Ebola cases in the last 21 days",Guinea,2015-06-10,38.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-06-10,208.0
"Cumulative number of probable Ebola cases",Liberia,2015-06-10,1879.0
"Number of confirmed Ebola cases in the last 21 days",Liberia,2015-06-10,0.0
"Cumulative number of suspected Ebola cases",Liberia,2015-06-10,5636.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Sierra Leone",2015-06-10,30.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-06-10,3239.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-06-10,3549.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-10,10666.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-06-10,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-06-10,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-06-10,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-06-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-06-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-06-10,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-06-10,7.0
"Cumulative number of probable Ebola cases",Mali,2015-06-10,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-06-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-06-10,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-06-10,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-06-10,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-06-10,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-06-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-06-10,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-06-10,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-06-10,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-06-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-06-10,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-06-10,1.0
"Cumulative number of probable Ebola cases",Spain,2015-06-10,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-06-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-06-10,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-06-10,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-06-10,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-06-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-06-10,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-06-10,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-06-10,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-06-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-06-10,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-06-10,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-06-10,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-06-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-06-10,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-06-10,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-06-10,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-06-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-06-10,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-06-10,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-06-10,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-06-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-06-10,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-11,3674.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-06-11,3243.0
"Cumulative number of probable Ebola cases",Guinea,2015-06-11,419.0
"Cumulative number of suspected Ebola cases",Guinea,2015-06-11,12.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-06-11,2440.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-06-11,2021.0
"Cumulative number of probable Ebola deaths",Guinea,2015-06-11,419.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-11,10666.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-06-11,3151.0
"Cumulative number of probable Ebola cases",Liberia,2015-06-11,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-06-11,5636.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-06-11,4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-06-11,12911.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-06-11,8638.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-06-11,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-06-11,3986.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-06-11,3917.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-06-11,3551.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-06-11,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-06-11,158.0
"Cumulative number of confirmed Ebola cases",Italy,2015-06-11,1.0
"Cumulative number of probable Ebola cases",Italy,2015-06-11,0.0
"Cumulative number of suspected Ebola cases",Italy,2015-06-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-06-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-06-11,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-06-11,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-06-11,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-06-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-06-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-06-11,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-06-11,7.0
"Cumulative number of probable Ebola cases",Mali,2015-06-11,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-06-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-06-11,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-06-11,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-06-11,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-06-11,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-06-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-06-11,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-06-11,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-06-11,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-06-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-06-11,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-06-11,1.0
"Cumulative number of probable Ebola cases",Spain,2015-06-11,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-06-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-06-11,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-06-11,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-06-11,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-06-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-06-11,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-06-11,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-06-11,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-06-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-06-11,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-06-11,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-06-11,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-06-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-06-11,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-06-11,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-06-11,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-06-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-06-11,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-06-11,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-06-11,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-06-11,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-06-11,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-06-12,3677.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-06-12,3243.0
"Cumulative number of probable Ebola cases",Guinea,2015-06-12,419.0
"Cumulative number of suspected Ebola cases",Guinea,2015-06-12,15.0
